name,set,google_search_url,Ungraded,Grade_9,Grade_10,final_url
Onix-GX,Hidden Fates,https://www.google.com/search?q=Onix-GX Hidden Fates site:pricecharting.com,2.1,14.41,30,https://www.pricecharting.com/game/pokemon-hidden-fates/onix-gx-36
Mawile,Cosmic Eclipse,https://www.google.com/search?q=Mawile Cosmic Eclipse site:pricecharting.com,1.3,13.07,35.23,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/mawile-140
Umbreon,Majestic Dawn,https://www.google.com/search?q=Umbreon Majestic Dawn site:pricecharting.com,10.99,89.99,489.62,https://www.pricecharting.com/game/pokemon-majestic-dawn/umbreon-32
Clefable,Hidden Fates,https://www.google.com/search?q=Clefable Hidden Fates site:pricecharting.com,1.45,11,13,https://www.pricecharting.com/game/pokemon-hidden-fates/clefable-40
Staryu,151,https://www.google.com/search?q=Staryu 151 site:pricecharting.com,0.99,4.99,34.18,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/staryu-120
Charmeleon,151,https://www.google.com/search?q=Charmeleon 151 site:pricecharting.com,32,43,207.99,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/charmeleon-169
Raichu,Evolving Skies,https://www.google.com/search?q=Raichu Evolving Skies site:pricecharting.com,1.57,12.02,42,https://www.pricecharting.com/game/pokemon-evolving-skies/raichu-50
Flareon,Cosmic Eclipse,https://www.google.com/search?q=Flareon Cosmic Eclipse site:pricecharting.com,1.83,14.33,50.94,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/flareon-25
Butterfree,Jungle,https://www.google.com/search?q=Butterfree Jungle site:pricecharting.com,1.56,20.49,55.31,https://www.pricecharting.com/game/pokemon-jungle/butterfree-33
Pikachu,Jungle,https://www.google.com/search?q=Pikachu Jungle site:pricecharting.com,2.52,26.45,100,https://www.pricecharting.com/game/pokemon-jungle/pikachu-60
Audino,Boundaries Crossed,https://www.google.com/search?q=Audino Boundaries Crossed site:pricecharting.com,1.89,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/audino-reverse-holo-126
Teddiursa,Evolving Skies,https://www.google.com/search?q=Teddiursa Evolving Skies site:pricecharting.com,1.15,12.44,34.87,https://www.pricecharting.com/game/pokemon-evolving-skies/teddiursa-126
Totodile,Neo Genesis,https://www.google.com/search?q=Totodile Neo Genesis site:pricecharting.com,2.03,19.26,69.48,https://www.pricecharting.com/game/pokemon-neo-genesis/totodile-80
Venonat,151,https://www.google.com/search?q=Venonat 151 site:pricecharting.com,1.72,12.62,29,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/venonat-reverse-holo-48
Weezing,Hidden Fates,https://www.google.com/search?q=Weezing Hidden Fates site:pricecharting.com,1.85,38.15,39.38,https://www.pricecharting.com/game/pokemon-hidden-fates/weezing-29
Herdier,Boundaries Crossed,https://www.google.com/search?q=Herdier Boundaries Crossed site:pricecharting.com,2.24,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/herdier-reverse-holo-121
Flareon VMAX,Evolving Skies,https://www.google.com/search?q=Flareon VMAX Evolving Skies site:pricecharting.com,7.74,20.37,50,https://www.pricecharting.com/game/pokemon-evolving-skies/flareon-vmax-18
Swoobat,Boundaries Crossed,https://www.google.com/search?q=Swoobat Boundaries Crossed site:pricecharting.com,1.75,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/swoobat-reverse-holo-71
Arctovish V,Evolving Skies,https://www.google.com/search?q=Arctovish V Evolving Skies site:pricecharting.com,1.59,20,44,https://www.pricecharting.com/game/pokemon-evolving-skies/arctovish-v-48
Golduck,Boundaries Crossed,https://www.google.com/search?q=Golduck Boundaries Crossed site:pricecharting.com,1.89,130,156,https://www.pricecharting.com/game/pokemon-boundaries-crossed/golduck-34
Dewgong,151,https://www.google.com/search?q=Dewgong 151 site:pricecharting.com,1.25,5,26,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/dewgong-reverse-holo-87
Squirtle,Boundaries Crossed,https://www.google.com/search?q=Squirtle Boundaries Crossed site:pricecharting.com,2.27,31,42.6,https://www.pricecharting.com/game/pokemon-boundaries-crossed/squirtle-29
Graveler,151,https://www.google.com/search?q=Graveler 151 site:pricecharting.com,1.24,11.89,35.24,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/graveler-75
Onix,151,https://www.google.com/search?q=Onix 151 site:pricecharting.com,1.4,12.13,35.92,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/onix-95
Buneary,Majestic Dawn,https://www.google.com/search?q=Buneary Majestic Dawn site:pricecharting.com,2.08,7.65,,https://www.pricecharting.com/game/pokemon-majestic-dawn/buneary-reverse-holo-53
Ursaring,Cosmic Eclipse,https://www.google.com/search?q=Ursaring Cosmic Eclipse site:pricecharting.com,1.47,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/ursaring-172
Arceus & Dialga & Palkia-GX,Cosmic Eclipse,https://www.google.com/search?q=Arceus & Dialga & Palkia-GX Cosmic Eclipse site:pricecharting.com,256.02,327,1000,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/arceus-&-dialga-&-palkia-gx-221
Scyther,151,https://www.google.com/search?q=Scyther 151 site:pricecharting.com,1.75,12.67,37.38,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/scyther-123
Gastly,Base,https://www.google.com/search?q=Gastly Base site:pricecharting.com,1.75,23.1,71.28,https://www.pricecharting.com/game/pokemon-base-set/gastly-50
Bulbasaur,Base,https://www.google.com/search?q=Bulbasaur Base site:pricecharting.com,1.99,42.35,143.75,https://www.pricecharting.com/game/pokemon-base-set/bulbasaur-44
Horsea,Neo Genesis,https://www.google.com/search?q=Horsea Neo Genesis site:pricecharting.com,1.05,20.64,54.36,https://www.pricecharting.com/game/pokemon-neo-genesis/horsea-62
Psyduck,Evolving Skies,https://www.google.com/search?q=Psyduck Evolving Skies site:pricecharting.com,1.05,12.22,34.99,https://www.pricecharting.com/game/pokemon-evolving-skies/psyduck-24
Rhydon,Jungle,https://www.google.com/search?q=Rhydon Jungle site:pricecharting.com,1.5,21,56.34,https://www.pricecharting.com/game/pokemon-jungle/rhydon-45
Duskull,Boundaries Crossed,https://www.google.com/search?q=Duskull Boundaries Crossed site:pricecharting.com,1.84,15,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/duskull-61
Wailord,Cosmic Eclipse,https://www.google.com/search?q=Wailord Cosmic Eclipse site:pricecharting.com,1.39,8.02,35.58,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/wailord-46
Igglybuff,Cosmic Eclipse,https://www.google.com/search?q=Igglybuff Cosmic Eclipse site:pricecharting.com,2.33,15.88,40.01,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/igglybuff-168
Psyduck,151,https://www.google.com/search?q=Psyduck 151 site:pricecharting.com,19.99,22.5,125.69,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/psyduck-175
Marowak,Jungle,https://www.google.com/search?q=Marowak Jungle site:pricecharting.com,1.53,17.51,51.34,https://www.pricecharting.com/game/pokemon-jungle/marowak-39
Braviary,Evolving Skies,https://www.google.com/search?q=Braviary Evolving Skies site:pricecharting.com,1.3,12.49,34.95,https://www.pricecharting.com/game/pokemon-evolving-skies/braviary-137
Sneasel,Neo Genesis,https://www.google.com/search?q=Sneasel Neo Genesis site:pricecharting.com,4,13.76,74.99,https://www.pricecharting.com/game/pokemon-neo-genesis/sneasel-25
Mareep,Evolving Skies,https://www.google.com/search?q=Mareep Evolving Skies site:pricecharting.com,0.99,11.89,33.77,https://www.pricecharting.com/game/pokemon-evolving-skies/mareep-54
Cottonee,Cosmic Eclipse,https://www.google.com/search?q=Cottonee Cosmic Eclipse site:pricecharting.com,1.31,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/cottonee-147
Caterpie,Evolutions,https://www.google.com/search?q=Caterpie Evolutions site:pricecharting.com,1.12,10.95,36.25,https://www.pricecharting.com/game/pokemon-evolutions/caterpie-3
Pidgeotto,151,https://www.google.com/search?q=Pidgeotto 151 site:pricecharting.com,1.43,12.18,36.04,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/pidgeotto-17
Lanturn,Neo Genesis,https://www.google.com/search?q=Lanturn Neo Genesis site:pricecharting.com,2.04,13.14,49.99,https://www.pricecharting.com/game/pokemon-neo-genesis/lanturn-38
Hippowdon,Majestic Dawn,https://www.google.com/search?q=Hippowdon Majestic Dawn site:pricecharting.com,2.13,,,https://www.pricecharting.com/game/pokemon-majestic-dawn/hippowdon-21
Spheal,Cosmic Eclipse,https://www.google.com/search?q=Spheal Cosmic Eclipse site:pricecharting.com,0.99,12.34,33.98,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/spheal-49
Golurk V,Evolving Skies,https://www.google.com/search?q=Golurk V Evolving Skies site:pricecharting.com,22.74,27,75,https://www.pricecharting.com/game/pokemon-evolving-skies/golurk-v-182
Psyduck,Boundaries Crossed,https://www.google.com/search?q=Psyduck Boundaries Crossed site:pricecharting.com,2.61,57.5,69,https://www.pricecharting.com/game/pokemon-boundaries-crossed/psyduck-33
Regieleki,Evolving Skies,https://www.google.com/search?q=Regieleki Evolving Skies site:pricecharting.com,3.78,8.89,23.06,https://www.pricecharting.com/game/pokemon-evolving-skies/regieleki-60
Caterpie,151,https://www.google.com/search?q=Caterpie 151 site:pricecharting.com,9.95,16.5,74,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/caterpie-172
Ludicolo,Evolving Skies,https://www.google.com/search?q=Ludicolo Evolving Skies site:pricecharting.com,1.46,9.5,23.06,https://www.pricecharting.com/game/pokemon-evolving-skies/ludicolo-holo-34
Servine,Boundaries Crossed,https://www.google.com/search?q=Servine Boundaries Crossed site:pricecharting.com,1.4,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/servine-reverse-holo-12
Caterpie,Base,https://www.google.com/search?q=Caterpie Base site:pricecharting.com,2.1,22.15,69.14,https://www.pricecharting.com/game/pokemon-base-set/caterpie-45
Turtwig,Majestic Dawn,https://www.google.com/search?q=Turtwig Majestic Dawn site:pricecharting.com,1.67,105.02,126,https://www.pricecharting.com/game/pokemon-majestic-dawn/turtwig-77
Wailmer,Cosmic Eclipse,https://www.google.com/search?q=Wailmer Cosmic Eclipse site:pricecharting.com,0.99,12.35,33.97,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/wailmer-45
Starmie,Base,https://www.google.com/search?q=Starmie Base site:pricecharting.com,1.9,21.27,52.63,https://www.pricecharting.com/game/pokemon-base-set/starmie-64
Pikachu,Boundaries Crossed,https://www.google.com/search?q=Pikachu Boundaries Crossed site:pricecharting.com,2.75,24.99,499,https://www.pricecharting.com/game/pokemon-boundaries-crossed/pikachu-50
Venomoth,151,https://www.google.com/search?q=Venomoth 151 site:pricecharting.com,1.26,11.94,35.36,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/venomoth-49
Slaking,Evolving Skies,https://www.google.com/search?q=Slaking Evolving Skies site:pricecharting.com,1.38,9.99,31.3,https://www.pricecharting.com/game/pokemon-evolving-skies/slaking-holo-131
Jynx ex,151,https://www.google.com/search?q=Jynx ex 151 site:pricecharting.com,2.08,7.6,33.37,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/jynx-ex-124
Ultra Necrozma,Cosmic Eclipse,https://www.google.com/search?q=Ultra Necrozma Cosmic Eclipse site:pricecharting.com,4.02,22,30.29,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/ultra-necrozma-164
Flabébé,Evolving Skies,https://www.google.com/search?q=Flabébé Evolving Skies site:pricecharting.com,,,,
Grimer,151,https://www.google.com/search?q=Grimer 151 site:pricecharting.com,1.3,11.98,35.49,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/grimer-reverse-holo-88
Steelix,Cosmic Eclipse,https://www.google.com/search?q=Steelix Cosmic Eclipse site:pricecharting.com,15.5,26.66,53.69,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/steelix-247
Herdier,Cosmic Eclipse,https://www.google.com/search?q=Herdier Cosmic Eclipse site:pricecharting.com,1.26,4.89,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/herdier-175
Ekans,Hidden Fates,https://www.google.com/search?q=Ekans Hidden Fates site:pricecharting.com,1.09,12.34,40.99,https://www.pricecharting.com/game/pokemon-hidden-fates/ekans-26
Applin,Evolving Skies,https://www.google.com/search?q=Applin Evolving Skies site:pricecharting.com,0.99,11.89,33.77,https://www.pricecharting.com/game/pokemon-evolving-skies/applin-17
Pidgeot,Jungle,https://www.google.com/search?q=Pidgeot Jungle site:pricecharting.com,18.47,96.73,547.55,https://www.pricecharting.com/game/pokemon-jungle/pidgeot-8
Mega Lopunny & Jigglypuff-GX,Cosmic Eclipse,https://www.google.com/search?q=Mega Lopunny & Jigglypuff-GX Cosmic Eclipse site:pricecharting.com,122.49,111.53,383.28,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/mega-lopunny-&-jigglypuff-gx-226
Hitmonchan,Evolving Skies,https://www.google.com/search?q=Hitmonchan Evolving Skies site:pricecharting.com,1.5,12.86,29.95,https://www.pricecharting.com/game/pokemon-evolving-skies/hitmonchan-81
Geodude,151,https://www.google.com/search?q=Geodude 151 site:pricecharting.com,1.36,12.07,28,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/geodude-reverse-holo-74
Scyther,Jungle,https://www.google.com/search?q=Scyther Jungle site:pricecharting.com,17.15,99.99,466.09,https://www.pricecharting.com/game/pokemon-jungle/scyther-10
Victini,Cosmic Eclipse,https://www.google.com/search?q=Victini Cosmic Eclipse site:pricecharting.com,1.89,13,58.5,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/victini-30
M Pidgeot-EX,Evolutions,https://www.google.com/search?q=M Pidgeot-EX Evolutions site:pricecharting.com,5.41,21,43.99,https://www.pricecharting.com/game/pokemon-evolutions/m-pidgeot-ex-65
Pidgeot-EX,Evolutions,https://www.google.com/search?q=Pidgeot-EX Evolutions site:pricecharting.com,7,20.23,58,https://www.pricecharting.com/game/pokemon-evolutions/pidgeot-ex-104
Blastoise & Piplup-GX,Cosmic Eclipse,https://www.google.com/search?q=Blastoise & Piplup-GX Cosmic Eclipse site:pricecharting.com,205.85,265.84,800,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/blastoise-&-piplup-gx-215
Toxicroak,Majestic Dawn,https://www.google.com/search?q=Toxicroak Majestic Dawn site:pricecharting.com,2.2,4.25,66.47,https://www.pricecharting.com/game/pokemon-majestic-dawn/toxicroak-31
Scrafty,Evolving Skies,https://www.google.com/search?q=Scrafty Evolving Skies site:pricecharting.com,1.12,,,https://www.pricecharting.com/game/pokemon-evolving-skies/scrafty-99
Lycanroc V,Evolving Skies,https://www.google.com/search?q=Lycanroc V Evolving Skies site:pricecharting.com,1.75,13.64,37.31,https://www.pricecharting.com/game/pokemon-evolving-skies/lycanroc-v-91
Rattata,151,https://www.google.com/search?q=Rattata 151 site:pricecharting.com,1.49,12.14,35.91,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/rattata-reverse-holo-19
Mewtwo-GX,Hidden Fates,https://www.google.com/search?q=Mewtwo-GX Hidden Fates site:pricecharting.com,53.29,63.99,186.98,https://www.pricecharting.com/game/pokemon-hidden-fates/mewtwo-gx-sv59
Electrode,Jungle,https://www.google.com/search?q=Electrode Jungle site:pricecharting.com,13.25,58.23,289.21,https://www.pricecharting.com/game/pokemon-jungle/electrode-2
Jynx,Hidden Fates,https://www.google.com/search?q=Jynx Hidden Fates site:pricecharting.com,1.04,12.5,41,https://www.pricecharting.com/game/pokemon-hidden-fates/jynx-30
Charmeleon,Base,https://www.google.com/search?q=Charmeleon Base site:pricecharting.com,1.99,37.15,95.18,https://www.pricecharting.com/game/pokemon-base-set/charmeleon-24
Gossifleur,Shining Fates,https://www.google.com/search?q=Gossifleur Shining Fates site:pricecharting.com,2.99,9,19.64,https://www.pricecharting.com/game/pokemon-shining-fates/gossifleur-sv010
Magikarp,151,https://www.google.com/search?q=Magikarp 151 site:pricecharting.com,184.85,209.75,1199.99,https://www.pricecharting.com/game/pokemon-paldea-evolved/magikarp-203
Poliwag,Base,https://www.google.com/search?q=Poliwag Base site:pricecharting.com,1.65,19.73,45.67,https://www.pricecharting.com/game/pokemon-base-set/poliwag-59
Duraludon V,Evolving Skies,https://www.google.com/search?q=Duraludon V Evolving Skies site:pricecharting.com,15,20.58,49.5,https://www.pricecharting.com/game/pokemon-evolving-skies/duraludon-v-198
Shiftry,Evolving Skies,https://www.google.com/search?q=Shiftry Evolving Skies site:pricecharting.com,1.01,12.33,34.64,https://www.pricecharting.com/game/pokemon-evolving-skies/shiftry-97
Golem ex,151,https://www.google.com/search?q=Golem ex 151 site:pricecharting.com,1.94,9.1,21.5,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/golem-ex-76
Wishiwashi,Cosmic Eclipse,https://www.google.com/search?q=Wishiwashi Cosmic Eclipse site:pricecharting.com,9.25,15,47.15,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/wishiwashi-240
Venomoth,Jungle,https://www.google.com/search?q=Venomoth Jungle site:pricecharting.com,13.72,60.45,399,https://www.pricecharting.com/game/pokemon-jungle/venomoth-13
Meloetta,Boundaries Crossed,https://www.google.com/search?q=Meloetta Boundaries Crossed site:pricecharting.com,3.58,25,146.25,https://www.pricecharting.com/game/pokemon-boundaries-crossed/meloetta-77
Umbreon VMAX,Evolving Skies,https://www.google.com/search?q=Umbreon VMAX Evolving Skies site:pricecharting.com,1250,1389.14,2246.49,https://www.pricecharting.com/game/pokemon-evolving-skies/umbreon-vmax-215
Piloswine,Neo Genesis,https://www.google.com/search?q=Piloswine Neo Genesis site:pricecharting.com,2.01,10,39.99,https://www.pricecharting.com/game/pokemon-neo-genesis/piloswine-44
Celebi-EX,Boundaries Crossed,https://www.google.com/search?q=Celebi-EX Boundaries Crossed site:pricecharting.com,42.75,109,1258.06,https://www.pricecharting.com/game/pokemon-boundaries-crossed/celebi-ex-141
Rillaboom,Shining Fates,https://www.google.com/search?q=Rillaboom Shining Fates site:pricecharting.com,1.33,6.89,18.69,https://www.pricecharting.com/game/pokemon-shining-fates/rillaboom-13
Magmar,Hidden Fates,https://www.google.com/search?q=Magmar Hidden Fates site:pricecharting.com,1.16,5.5,34.66,https://www.pricecharting.com/game/pokemon-hidden-fates/magmar-10
Charmander,151,https://www.google.com/search?q=Charmander 151 site:pricecharting.com,45.5,52,240.45,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/charmander-168
Vaporeon VMAX,Evolving Skies,https://www.google.com/search?q=Vaporeon VMAX Evolving Skies site:pricecharting.com,7,17.45,43.08,https://www.pricecharting.com/game/pokemon-evolving-skies/vaporeon-vmax-30
Magmar,Neo Genesis,https://www.google.com/search?q=Magmar Neo Genesis site:pricecharting.com,1.92,16.5,51,https://www.pricecharting.com/game/pokemon-neo-genesis/magmar-40
Jolteon,151,https://www.google.com/search?q=Jolteon 151 site:pricecharting.com,3.37,18.85,75,https://www.pricecharting.com/game/pokemon-promo/jolteon-v-swsh151
Raichu,151,https://www.google.com/search?q=Raichu 151 site:pricecharting.com,1.5,10.33,29.99,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/raichu-26
Machop,Base,https://www.google.com/search?q=Machop Base site:pricecharting.com,1.55,23.62,42.41,https://www.pricecharting.com/game/pokemon-base-set/machop-52
Mew,Evolutions,https://www.google.com/search?q=Mew Evolutions site:pricecharting.com,8.45,29.79,251.25,https://www.pricecharting.com/game/pokemon-evolutions/mew-holo-53
Metapod,151,https://www.google.com/search?q=Metapod 151 site:pricecharting.com,3.02,14.41,28.99,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/metapod-reverse-holo-11
Slugma,Cosmic Eclipse,https://www.google.com/search?q=Slugma Cosmic Eclipse site:pricecharting.com,1.1,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/slugma-26
Fearow,151,https://www.google.com/search?q=Fearow 151 site:pricecharting.com,1.08,11.65,34.56,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/fearow-22
Pikachu,Evolving Skies,https://www.google.com/search?q=Pikachu Evolving Skies site:pricecharting.com,1.41,11.76,34.9,https://www.pricecharting.com/game/pokemon-evolving-skies/pikachu-49
Mankey,Jungle,https://www.google.com/search?q=Mankey Jungle site:pricecharting.com,1.45,16.99,47.62,https://www.pricecharting.com/game/pokemon-jungle/mankey-55
Swinub,Neo Genesis,https://www.google.com/search?q=Swinub Neo Genesis site:pricecharting.com,1.41,8.08,26.35,https://www.pricecharting.com/game/pokemon-neo-genesis/swinub-79
Alakazam ex,151,https://www.google.com/search?q=Alakazam ex 151 site:pricecharting.com,42.25,47,193.5,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/alakazam-ex-201
Nidoran ♂,Base,https://www.google.com/search?q=Nidoran ♂ Base site:pricecharting.com,49.3,117.46,456,https://www.pricecharting.com/game/pokemon-legendary-collection/nidoran-reverse-holo-83
Eevee,Cosmic Eclipse,https://www.google.com/search?q=Eevee Cosmic Eclipse site:pricecharting.com,2,25,37.64,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/eevee-167
Musharna,Boundaries Crossed,https://www.google.com/search?q=Musharna Boundaries Crossed site:pricecharting.com,1.76,,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/musharna-69
Swirlix,Cosmic Eclipse,https://www.google.com/search?q=Swirlix Cosmic Eclipse site:pricecharting.com,1.02,12.34,33.98,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/swirlix-153
Pidgey,Base,https://www.google.com/search?q=Pidgey Base site:pricecharting.com,1.81,19.51,65.04,https://www.pricecharting.com/game/pokemon-base-set/pidgey-57
Caterpie,Hidden Fates,https://www.google.com/search?q=Caterpie Hidden Fates site:pricecharting.com,1.12,12.65,34.5,https://www.pricecharting.com/game/pokemon-hidden-fates/caterpie-1
Tropius,Shining Fates,https://www.google.com/search?q=Tropius Shining Fates site:pricecharting.com,0.99,12,46,https://www.pricecharting.com/game/pokemon-shining-fates/tropius-5
Parasect,Jungle,https://www.google.com/search?q=Parasect Jungle site:pricecharting.com,1.61,17.99,44.65,https://www.pricecharting.com/game/pokemon-jungle/parasect-41
Poliwhirl,151,https://www.google.com/search?q=Poliwhirl 151 site:pricecharting.com,17.24,26.91,110.36,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/poliwhirl-176
Dragonair,151,https://www.google.com/search?q=Dragonair 151 site:pricecharting.com,22.99,26.5,128.87,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/dragonair-181
Yveltal,Shining Fates,https://www.google.com/search?q=Yveltal Shining Fates site:pricecharting.com,2.31,11.4,34.42,https://www.pricecharting.com/game/pokemon-shining-fates/yveltal-46
Sunflora,Cosmic Eclipse,https://www.google.com/search?q=Sunflora Cosmic Eclipse site:pricecharting.com,1.74,14.14,53.74,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/sunflora-8
Hippowdon,Evolving Skies,https://www.google.com/search?q=Hippowdon Evolving Skies site:pricecharting.com,1.43,,,https://www.pricecharting.com/game/pokemon-evolving-skies/hippowdon-85
Cresselia-EX,Boundaries Crossed,https://www.google.com/search?q=Cresselia-EX Boundaries Crossed site:pricecharting.com,28.95,113.11,1499.95,https://www.pricecharting.com/game/pokemon-boundaries-crossed/cresselia-ex-143
Lanturn,Evolving Skies,https://www.google.com/search?q=Lanturn Evolving Skies site:pricecharting.com,1.19,4.25,34.49,https://www.pricecharting.com/game/pokemon-evolving-skies/lanturn-reverse-holo-53
Dwebble,Evolving Skies,https://www.google.com/search?q=Dwebble Evolving Skies site:pricecharting.com,0.96,11.83,33.65,https://www.pricecharting.com/game/pokemon-evolving-skies/dwebble-11
Rayquaza VMAX,Evolving Skies,https://www.google.com/search?q=Rayquaza VMAX Evolving Skies site:pricecharting.com,528.67,619.19,1000,https://www.pricecharting.com/game/pokemon-evolving-skies/rayquaza-vmax-218
Diglett,151,https://www.google.com/search?q=Diglett 151 site:pricecharting.com,1.48,6.5,36.25,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/diglett-reverse-holo-50
Terrakion,Boundaries Crossed,https://www.google.com/search?q=Terrakion Boundaries Crossed site:pricecharting.com,59.02,102,475,https://www.pricecharting.com/game/pokemon-boundaries-crossed/terrakion-151
Altaria,Boundaries Crossed,https://www.google.com/search?q=Altaria Boundaries Crossed site:pricecharting.com,104.15,160.86,1707.96,https://www.pricecharting.com/game/pokemon-boundaries-crossed/altaria-152
Lanturn,Cosmic Eclipse,https://www.google.com/search?q=Lanturn Cosmic Eclipse site:pricecharting.com,1.36,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/lanturn-72
Landorus-EX,Boundaries Crossed,https://www.google.com/search?q=Landorus-EX Boundaries Crossed site:pricecharting.com,35.38,60.83,495.95,https://www.pricecharting.com/game/pokemon-boundaries-crossed/landorus-ex-144
Oricorio-GX,Cosmic Eclipse,https://www.google.com/search?q=Oricorio-GX Cosmic Eclipse site:pricecharting.com,2.24,14.8,37.81,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/oricorio-gx-95
Primeape,151,https://www.google.com/search?q=Primeape 151 site:pricecharting.com,1.09,11.66,34.6,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/primeape-57
Armaldo,Cosmic Eclipse,https://www.google.com/search?q=Armaldo Cosmic Eclipse site:pricecharting.com,1.32,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/armaldo-112
Togepi & Cleffa & Igglybuff-GX,Cosmic Eclipse,https://www.google.com/search?q=Togepi & Cleffa & Igglybuff-GX Cosmic Eclipse site:pricecharting.com,145.95,138.28,350,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/togepi-&-cleffa-&-igglybuff-gx-143a
Indeedee V,Shining Fates,https://www.google.com/search?q=Indeedee V Shining Fates site:pricecharting.com,1.49,10,22.5,https://www.pricecharting.com/game/pokemon-shining-fates/indeedee-v-sv114
Trapinch,Boundaries Crossed,https://www.google.com/search?q=Trapinch Boundaries Crossed site:pricecharting.com,1.69,17.55,45.59,https://www.pricecharting.com/game/pokemon-boundaries-crossed/trapinch-83
Porygon-Z LV.X,Majestic Dawn,https://www.google.com/search?q=Porygon-Z LV.X Majestic Dawn site:pricecharting.com,41.27,251.13,522.65,https://www.pricecharting.com/game/pokemon-majestic-dawn/porygon-z-lvx-100
Magnemite,Cosmic Eclipse,https://www.google.com/search?q=Magnemite Cosmic Eclipse site:pricecharting.com,11,17.67,74.21,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/magnemite-242
Dracozolt V,Evolving Skies,https://www.google.com/search?q=Dracozolt V Evolving Skies site:pricecharting.com,1.89,9,37.47,https://www.pricecharting.com/game/pokemon-evolving-skies/dracozolt-v-58
Arbok ex,151,https://www.google.com/search?q=Arbok ex 151 site:pricecharting.com,6.51,18.05,49.99,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/arbok-ex-185
Lapras,Hidden Fates,https://www.google.com/search?q=Lapras Hidden Fates site:pricecharting.com,1.74,8.22,25.01,https://www.pricecharting.com/game/pokemon-hidden-fates/lapras-17
Umbreon V,Evolving Skies,https://www.google.com/search?q=Umbreon V Evolving Skies site:pricecharting.com,222.5,222.76,486.19,https://www.pricecharting.com/game/pokemon-evolving-skies/umbreon-v-189
Charmander,Evolutions,https://www.google.com/search?q=Charmander Evolutions site:pricecharting.com,1.5,13.48,35,https://www.pricecharting.com/game/pokemon-evolutions/charmander-9
Spearow,Majestic Dawn,https://www.google.com/search?q=Spearow Majestic Dawn site:pricecharting.com,1.67,,,https://www.pricecharting.com/game/pokemon-majestic-dawn/spearow-74
