name,set,google_search_url,Ungraded,Grade_9,Grade_10,final_url
Parasect,151,https://www.google.com/search?q=Parasect 151 site:pricecharting.com,1.25,11.91,35.28,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/parasect-47
Lileep,Cosmic Eclipse,https://www.google.com/search?q=Lileep Cosmic Eclipse site:pricecharting.com,1.11,12.63,34.46,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/lileep-10
Absol,Cosmic Eclipse,https://www.google.com/search?q=Absol Cosmic Eclipse site:pricecharting.com,1.28,13.03,35.15,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/absol-133
Cosmog,Cosmic Eclipse,https://www.google.com/search?q=Cosmog Cosmic Eclipse site:pricecharting.com,1.49,13.52,35.99,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/cosmog-99
Koffing,Base,https://www.google.com/search?q=Koffing Base site:pricecharting.com,1.39,20.49,61.24,https://www.pricecharting.com/game/pokemon-base-set/koffing-51
Hakamo-o,Cosmic Eclipse,https://www.google.com/search?q=Hakamo-o Cosmic Eclipse site:pricecharting.com,1.5,13.55,36.03,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/hakamo-o-reverse-holo-162
Rowlet,Shining Fates,https://www.google.com/search?q=Rowlet Shining Fates site:pricecharting.com,2.33,10.25,29.49,https://www.pricecharting.com/game/pokemon-shining-fates/rowlet-sv001
Trapinch,Shining Fates,https://www.google.com/search?q=Trapinch Shining Fates site:pricecharting.com,0.99,4.25,5.5,https://www.pricecharting.com/game/pokemon-shining-fates/trapinch-40
Spoink,Boundaries Crossed,https://www.google.com/search?q=Spoink Boundaries Crossed site:pricecharting.com,1.49,5.51,,https://www.pricecharting.com/game/pokemon-boundaries-crossed/spoink-59
Porygon,151,https://www.google.com/search?q=Porygon 151 site:pricecharting.com,0.96,11.77,34.9,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/porygon-137
Electabuzz,Evolutions,https://www.google.com/search?q=Electabuzz Evolutions site:pricecharting.com,2.25,18.01,50,https://www.pricecharting.com/game/pokemon-evolutions/electabuzz-41
Golett,Cosmic Eclipse,https://www.google.com/search?q=Golett Cosmic Eclipse site:pricecharting.com,1.1,,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/golett-89
Raticate,Boundaries Crossed,https://www.google.com/search?q=Raticate Boundaries Crossed site:pricecharting.com,4.4,29.67,70.6,https://www.pricecharting.com/game/pokemon-boundaries-crossed/raticate-105
Scraggy,Evolving Skies,https://www.google.com/search?q=Scraggy Evolving Skies site:pricecharting.com,1.04,12.18,34.34,https://www.pricecharting.com/game/pokemon-evolving-skies/scraggy-98
Emboar,Boundaries Crossed,https://www.google.com/search?q=Emboar Boundaries Crossed site:pricecharting.com,2.68,20,90,https://www.pricecharting.com/game/pokemon-boundaries-crossed/emboar-26
Electabuzz,Base,https://www.google.com/search?q=Electabuzz Base site:pricecharting.com,4.14,36.75,138.2,https://www.pricecharting.com/game/pokemon-base-set/electabuzz-20
Pangoro,Cosmic Eclipse,https://www.google.com/search?q=Pangoro Cosmic Eclipse site:pricecharting.com,1.09,6.5,,https://www.pricecharting.com/game/pokemon-cosmic-eclipse/pangoro-120
Magmar,Base,https://www.google.com/search?q=Magmar Base site:pricecharting.com,1.99,25.5,145.94,https://www.pricecharting.com/game/pokemon-base-set/magmar-36
